measurement,deployment_id,timestamp,sensors__Cond,sensors__DOpct,sensors__Sal,sensors__Temp,sensors__Turb,sensors__lat,sensors__lon,sensors__pH,description
Alan,17,2023-02-16T17:30:00+00:00,492,122.7,0.36,7.897,3.74,41.12781667,-73.808,7.55,
Alan,17,2023-02-16T17:45:00+00:00,490.5,136.3,0.36,7.937,3.76,41.12781667,-73.808,7.58,
Alan,17,2023-02-16T18:00:00+00:00,494.6,135.6,0.36,7.962,3.62,41.12781667,-73.808,7.61,
Alan,17,2023-02-16T18:15:00+00:00,492.4,136.9,0.36,7.989,3.69,41.12781667,-73.808,7.62,
Alan,17,2023-02-16T18:30:00+00:00,492.6,136.1,0.36,8.02,3.71,41.12781667,-73.808,7.63,
Alan,17,2023-02-16T18:45:00+00:00,494.1,130.6,0.36,8.05,3.7,41.12781667,-73.808,7.62,
Alan,17,2023-02-16T19:00:00+00:00,494.8,132.6,0.36,8.12,3.52,41.12781667,-73.808,7.6,
Alan,17,2023-02-16T19:15:00+00:00,494.9,133.9,0.36,8.12,3.68,41.12781667,-73.808,7.59,
Alan,17,2023-02-16T19:30:00+00:00,495.6,132.4,0.36,8.12,3.55,41.12781667,-73.808,7.59,
Alan,17,2023-02-16T19:45:00+00:00,495.9,131.3,0.36,8.11,3.55,41.12781667,-73.808,7.58,
Alan,17,2023-02-16T20:00:00+00:00,496.4,136,0.36,8.13,3.69,41.12781667,-73.808,7.58,
Alan,17,2023-02-16T20:15:00+00:00,497.5,134.8,0.36,8.15,3.58,41.12781667,-73.808,7.57,
Alan,17,2023-02-16T20:30:00+00:00,497.4,134,0.36,8.17,3.61,41.12781667,-73.808,7.58,
Alan,17,2023-02-16T20:45:00+00:00,497.7,134.8,0.36,8.18,3.63,41.12781667,-73.808,7.57,
Alan,17,2023-02-16T21:00:00+00:00,498.1,138.3,0.36,8.25,3.31,41.12781667,-73.808,7.61,
Alan,17,2023-02-16T21:15:00+00:00,498.5,137.8,0.36,8.22,3.83,41.12781667,-73.808,7.64,
Alan,17,2023-02-16T21:30:00+00:00,497.6,136.7,0.36,8.24,4.74,41.12781667,-73.808,7.66,
Alan,17,2023-02-16T21:45:00+00:00,497.6,136.1,0.36,8.25,3.59,41.12781667,-73.808,7.66,
Alan,17,2023-02-16T22:00:00+00:00,497.3,135.8,0.36,8.24,3.58,41.12781667,-73.808,7.65,
Alan,17,2023-02-16T22:15:00+00:00,497.3,135.5,0.36,8.22,3.52,41.12781667,-73.808,7.65,
Alan,17,2023-02-16T22:30:00+00:00,497.6,135.4,0.36,8.17,3.6,41.12781667,-73.808,7.64,
Alan,17,2023-02-16T22:45:00+00:00,496.8,134.9,0.36,8.14,3.54,41.12781667,-73.808,7.63,
