measurement,timestamp,Salinity,pH,Temperature(F),Turbidity,Dissolved Oxygen,Conductivity,sensors/Temp
Ada,,0.25,8.46,22.82,13.11,163.2,492.1,
Ada,,0.25,8.36,22.8,13.54,156.5,491.7,
Ada,,0.25,8.37,22.79,13.93,159.2,492.3,
Ada,,0.25,8.34,22.79,14.54,156.6,491.5,
Ada,,0.25,8.29,22.74,15.06,152.3,496,
Ada,,0.25,8.13,22.83,14.96,141.4,493.1,
Ada,,0.25,8.1,22.78,16.51,157.2,493.8,
Ada,,0.25,8.09,22.86,17.43,144.4,492.5,
Ada,,0.25,8.07,22.74,16.88,153.3,494.1,
Ada,,0.25,7.99,22.72,17.26,135.4,496.3,
Ada,,0.25,7.7,22.76,15.09,112.7,490.3,
Ada,,0.25,7.56,22.65,13.28,92.4,493.6,
Ada,,0.25,7.56,22.65,12.93,84,491.6,
Ada,,0.25,7.61,22.64,15.46,98.3,492.9,
Ada,,0.25,7.63,22.64,13.97,104,493.7,
Ada,,0.25,7.66,22.57,13.89,106.4,494.2,
Ada,,0.25,7.66,22.56,13.68,102.4,493.4,
Ada,,0.25,7.71,22.59,13.73,105.8,493.6,
Ada,,0.25,7.64,22.58,13.6,97.1,490.9,
Ada,,0.25,7.75,22.59,14.14,110.1,493.9,
Ada,,0.25,7.66,22.61,13.07,88.6,488.5,
Ada,,0.25,7.88,22.7,14.02,119.6,498,
Ada,,0.25,7.79,22.75,13.27,102.7,488.9,
Ada,,0.25,7.85,22.55,37.9,116.6,490,
Ada,,0.25,7.87,22.59,9.71,125,499.8,
Ada,,0.25,7.92,22.63,11.33,122.9,496.4,
Ada,,0.25,7.88,22.81,12,120,493.3,
Ada,,0.25,7.83,22.75,12.87,120,493.1,
Ada,,0.25,7.76,22.65,10.86,106,491.7,
Ada,,0.25,7.78,22.57,9.82,111.6,493,
Ada,,0.25,7.79,22.66,11.09,117.7,493.9,
Ada,,0.25,7.98,22.61,11.39,123.1,493.6,
Ada,,0.25,8,22.72,11.76,121.7,494,
Ada,,0.25,8.14,22.7,10.08,127.3,494.6,
Ada,,0.25,8,22.72,13.9,126.4,492.6,
Ada,,0.25,8.2,22.74,18.69,137.8,497.7,
Ada,,0.25,8.48,22.76,14.86,146.1,494.7,
Ada,,0.24,8.5,22.84,17.74,135.2,486.6,
Ada,,0.25,8.58,22.81,14.05,142.7,493.6,
Ada,,0.25,8.57,22.71,12.42,159.8,498.5,
Ada,,0.25,8.53,22.73,12.78,147.6,494.5,
Ada,,0.25,8.58,22.83,10.55,152.2,496.8,
Ada,,0.26,8.61,22.84,10.09,162.9,508.6,
Ada,,0.25,8.63,22.91,10.21,168.2,502,
Ada,,0.26,8.65,23.15,8.69,177.8,510.4,
Ada,,0.26,8.65,23.03,9.04,172.6,510,
Ada,,0.26,8.77,22.83,8.49,182.4,507.1,
Ada,,0.25,8.76,22.84,8.35,181.3,506.6,
Ada,,0.26,8.85,22.93,8.7,184.6,508.6,
Ada,,0.25,8.82,22.98,8.31,185.9,503.3,
Ada,,0.25,8.87,22.88,8.64,189.6,505.2,
Ada,,0.25,8.8,23.26,8.85,176.9,503.6,
Ada,,0.25,8.82,23.16,8.11,179.3,506.9,
Ada,,0.25,8.86,23.08,9.2,192.1,504.7,
Ada,,0.25,8.97,23.09,9.62,194.3,498.2,
Ada,,0.25,8.85,23.12,9.7,185.3,504.5,
Ada,,0.26,8.84,23.12,8.9,192.4,510.1,
Ada,,0.26,8.74,23.05,10.46,190.8,513.7,
Ada,,0.25,8.84,23.18,11.59,188.4,504.7,
Ada,,0.25,8.92,23.2,10.83,200.7,503.2,
Ada,,0.25,9.01,23.23,12.44,202,500,
Ada,,0.25,8.96,23.08,15.27,202.9,504.2,
Ada,,0.25,8.96,23.06,18.51,203.6,503.1,
Ada,,0.25,8.96,23.05,22.02,200.7,502.9,
Ada,,0.25,8.92,23.07,14.86,193.3,504.1,
Ada,,0.25,8.94,23.13,16.37,195.6,503.5,
Ada,,0.25,8.83,23.28,12.67,188.4,503,
Ada,,0.25,8.86,23.27,14.43,195.3,509.3,
Ada,,0.25,8.78,23.07,15.11,185.7,507.6,
Ada,,0.25,8.83,23.18,15.29,188.5,504.8,
Ada,,0.25,8.79,23.09,11.91,185.2,505.8,
Ada,,0.25,8.75,23.07,9.73,180.2,505.3,
Ada,,0.25,8.81,22.99,58.93,185.7,505.8,
Ada,,0.25,8.76,23.18,7.75,180.7,507.5,
Ada,,0.25,8.76,23.12,9.04,184.1,509.5,
Ada,,0.26,8.71,23.07,10.28,181.9,514.4,
Ada,,0.26,8.74,23.1,10.78,148.2,510.7,
Ada,,0.25,8.76,23.09,11.87,182.4,506.1,
Ada,,0.25,8.72,23.11,9.28,187.9,509.6,
Ada,,0.26,8.72,23.11,8.1,185.6,510.7,
Ada,,0.26,8.66,23.08,8.29,183,514.1,
Ada,,0.26,8.65,23.01,8.54,182.1,517,
Ada,,0.25,8.65,23.14,8.74,179.1,507.1,
Ada,,0.26,8.62,23.14,9.18,181.1,510.8,
Ada,,0.26,8.6,23.09,9.66,178.1,510.8,
Ada,,0.26,8.57,23.01,10.68,175.7,512.8,
Ada,,0.26,8.56,22.99,8.82,174.5,514.2,
Ada,,0.26,8.52,22.99,8.6,169.6,513.6,
Ada,,0.26,8.5,23.12,8.86,168.4,513.6,
Ada,,0.26,8.5,23.07,8.95,169.9,510.1,
Ada,,0.26,8.46,23.08,9.39,166,514.2,
Ada,,0.26,8.46,22.97,9.65,167.7,514.3,
Ada,,0.26,8.44,23.01,9.97,166.2,515.3,
Ada,,0.26,8.42,23,10.04,166,514.2,
Ada,,0.26,8.42,23.02,9.66,165.4,513,
Ada,,0.26,8.32,22.95,9.9,152.4,516,
Ada,,0.26,8.31,22.97,10.08,154.9,519,
Ada,,0.26,8.33,22.97,10.82,158.4,519,
Ada,,0.26,8.32,23.01,10.41,161.7,518.3,
Ada,,0.26,8.38,23.03,11.62,162.2,517.4,
Ada,,0.26,8.33,22.94,10.71,157.5,518.8,
Ada,,0.26,8.31,22.93,11.25,158.3,517,
Ada,,0.26,8.3,23.03,11.22,160,516.4,
Ada,,0.26,8.22,22.98,11.52,147.4,513.8,
Ada,,0.26,8.1,22.93,11.97,147.8,514.3,
Ada,,0.26,8.07,22.85,11.68,142.8,518.9,
Ada,,0.26,7.83,22.92,11.58,125.3,516.5,
Ada,,0.26,7.89,22.95,11.54,132,517.7,
Ada,,0.26,7.97,22.91,11.66,133.6,517.4,
Ada,,0.26,7.94,22.86,11.55,133.2,518.9,
Ada,,0.26,7.98,22.93,11.88,137.2,519.8,
Ada,,0.26,7.86,22.87,11.4,129.5,520.5,
Ada,,0.26,7.92,22.89,12.27,135.5,519.8,
Ada,,0.26,7.9,22.86,12.7,132.9,520,
Ada,,0.26,8.01,22.87,12.42,154.4,523.8,
Ada,,0.26,7.81,22.88,11.48,134.5,519.6,
Ada,,0.26,7.88,22.94,11.81,135.1,518.2,
Ada,,0.26,7.83,22.96,9.86,108.3,508.4,
Ada,,0.26,7.73,22.93,11.89,95.4,510.7,
Ada,,0.26,7.83,22.89,10.75,121.4,517.2,
Ada,,0.26,7.62,22.84,9.56,111.4,511.6,
Ada,,0.26,7.81,22.84,8.42,129.1,519.4,
Ada,,0.26,7.83,22.86,11.76,127,525.1,
Ada,,0.26,7.87,22.88,13.78,129.2,519,
Ada,,0.26,7.92,22.88,10.61,134.1,521.2,
Ada,,0.26,7.96,22.89,10.15,127,523.5,
Ada,,0.26,7.89,22.88,10.59,128.7,513.6,
Ada,,0.26,7.82,22.86,11.32,114.8,511.2,
Ada,,0.26,7.85,22.81,10.33,124.1,512.5,
Ada,,0.26,7.96,23.04,10.88,133.4,513.6,
Ada,,0.26,7.99,23.03,9.76,136.2,516.5,
Ada,,0.26,8.06,22.87,11.01,141.5,517.9,
Ada,,0.26,8.28,23,10.31,162.4,518.9,
Ada,,0.26,8.2,22.95,10.5,141.2,519.6,
Ada,,0.26,8.26,22.95,10.57,139.3,515.5,
Ada,,0.26,8.16,22.96,10.18,139.8,518.5,
Ada,,0.27,8.43,23.1,9.97,160.7,532.1,
Ada,,0.26,8.42,22.99,9.41,162,516.1,
Ada,,0.26,8.41,22.94,8.45,160.1,520.8,
Ada,,0.26,8.42,23.01,8.97,159.5,515.7,
Ada,,0.26,8.62,23.04,8.68,168.2,522.7,
Ada,,0.26,8.48,23.11,8.63,156.7,518.7,
Ada,,0.26,8.4,23.06,11.88,164.8,519.5,
Ada,,0.26,8.71,23.05,12.93,180.4,523.6,
Ada,,0.26,8.64,23.19,15.06,175.3,524.7,
Ada,,0.26,8.65,23.11,9.68,179,529,
Ada,,0.26,8.59,23.17,10.73,177.9,529.4,
Ada,,0.26,8.74,23.23,10.41,192.2,522.1,
Ada,,0.28,8.46,23.12,11.06,170.8,552.2,
Ada,,0.26,8.55,23.28,8.19,174.2,529.8,
Ada,,0.28,8.51,23.3,8.39,173.2,560.4,
Ada,,0.27,8.58,23.2,9.85,175,531.5,
Ada,,0.26,8.58,23.27,9.15,172,524.3,
Ada,,0.27,8.52,23.42,8.62,172.1,539.4,
Ada,,0.25,8.47,23.3,8.74,161.9,508.3,
Ada,,0.26,8.36,23.12,8.86,157.4,515.2,
Ada,,0.26,8.39,23.28,8.34,163.7,520.6,
Ada,,0.26,8.44,23.26,7.96,163.1,514.7,
Ada,,0.26,8.38,23.08,7.93,155.6,510.2,
Ada,,0.27,8.29,23.33,8.06,157,536.9,
Ada,,0.26,8.24,23.2,8.2,156.6,528.2,
Ada,,0.28,8.16,23.3,8.4,161.7,563.3,
Ada,,0.29,8.29,23.51,8.26,170.9,575.3,
Ada,,0.27,8.26,23.1,8.1,162,541.6,
Ada,,0.27,8.21,23.2,8.31,153.3,543.5,
Ada,,0.27,8.26,23.37,8,157,535.8,
Ada,,0.28,8.22,23.42,8.56,163.3,556.5,
Ada,,0.28,8.22,23.52,8.67,162.8,560.7,
Ada,,0.26,8.17,23.34,8.84,155.2,530.1,
Ada,,0.27,8.15,23.21,8.62,156,539.1,
Ada,,0.27,8.15,23.14,9.11,150.2,536.3,
Ada,,0.27,8.13,23.12,8.82,148.5,535.8,
Ada,,0.27,8.06,23.15,8.79,146.6,536.8,
Ada,,0.27,8.03,23.11,8.3,147.1,532.6,
Ada,,0.27,8.08,23.12,8.5,149.5,533,
Ada,,0.27,8.06,23.03,8.49,148.6,531.9,
Ada,,0.27,7.98,22.98,8.64,141.2,542.7,
Ada,,0.27,7.99,22.94,8.29,144.8,534.5,
Ada,,0.27,7.88,23,9.22,141.6,542.5,
Ada,,0.28,7.88,22.96,8.77,140.1,552.7,
Ada,,0.28,7.79,23.02,10.07,128,553,
Ada,,0.29,7.78,22.99,9.44,131.4,574.4,
Ada,,0.28,7.75,22.99,9.62,131.1,562.7,
Ada,,0.27,7.82,22.9,9.15,138.4,541.5,
Ada,,0.29,7.75,22.95,9.88,127.2,567.5,
Ada,,0.29,7.74,22.91,13.35,129.6,568.8,
Ada,,0.29,7.75,22.94,10.13,130.6,573,
Ada,,0.28,7.77,22.85,9.68,133.5,561.9,
Ada,,0.29,7.75,22.9,9.66,130.3,567.6,
Ada,,0.28,7.75,22.85,9.87,133.8,563.1,
Ada,,0.28,7.78,22.85,9.97,133.7,555.8,
Ada,,0.28,7.76,22.82,9.99,130.3,556.5,
Ada,,0.29,7.73,22.81,10.58,123,578,
Ada,,0.27,7.68,22.75,11.76,113.3,527.3,
Ada,,0.27,7.67,22.75,11.77,112.7,543.9,
Ada,,0.28,7.67,22.79,9.92,124.6,556.8,
Ada,,0.28,7.68,22.8,10.8,122.1,558.7,
Ada,,0.28,7.68,22.78,10.72,121.8,551.8,
Ada,,0.28,7.69,22.77,10.66,120.8,546,
Ada,,0.29,7.67,22.83,10.5,124.1,576,
Ada,,0.26,7.67,22.84,11.69,120.6,521.1,
Ada,,0.28,7.67,22.72,11.34,118.8,553.4,
Ada,,0.29,7.65,22.76,12.11,123.2,568.2,
Ada,,0.28,7.67,22.8,11.11,121,557.3,
Ada,,0.27,7.67,22.83,11.06,119.5,541.5,
Ada,,0.28,7.65,22.73,11.24,116.4,552,
Ada,,0.28,7.64,22.72,11.01,118.8,555.3,
Ada,,0.28,7.64,22.72,11.33,118.5,547.1,
Ada,,0.27,7.65,22.74,10.49,113,543.3,
Ada,,0.27,7.64,22.73,11.01,113.9,543,
Ada,,0.28,7.63,22.71,10.32,112.2,545.5,
Ada,,0.28,7.62,22.69,11.12,107.2,551.2,
Ada,,0.28,7.62,22.75,11.01,109.6,546.3,
Ada,,0.26,7.59,22.67,10.78,108.5,519.7,
Ada,,0.27,7.57,22.79,10.86,111.1,540.2,
Ada,,0.23,7.59,22.59,10.31,90.8,464.9,
Ada,,0.27,7.56,22.74,10.56,112.6,533.9,
Ada,,0.29,7.59,22.72,10.07,113.2,563.4,
Ada,,0.27,7.63,22.81,10.44,116.2,544.1,
Ada,,0.28,7.61,22.81,10.56,101.3,552.2,
Ada,,0.27,7.61,22.76,9.97,110,542.9,
Ada,,0.24,7.56,22.77,11.64,83,478,
Ada,,0.27,7.51,22.72,10.5,99.8,541.4,
Ada,,0.29,7.64,22.81,11.86,136.7,571.7,
Ada,,0.26,7.63,22.84,10.47,106.9,521.3,
Ada,,0.26,7.7,22.92,14.48,119.9,521.7,
Ada,,0.25,7.79,22.96,11.87,110.6,493.1,
Ada,,0.26,7.76,22.91,13.25,130.3,508,
Ada,,0.26,7.97,22.92,13.68,142.4,525.5,
Ada,,0.26,8.23,22.94,11.59,163.6,524.2,
Ada,,0.26,8.14,23.16,10.93,164.9,517.6,
Ada,,0.26,8.26,23.2,10.14,160.3,511.4,
Ada,,0.25,8.38,23.13,10.61,166.9,496,
Ada,,0.23,8.33,23.11,10.24,161.7,465.4,
Ada,,0.24,8.37,23.25,10.28,164.1,477.5,
Ada,,0.26,8.41,23.2,10.16,168.1,513.9,
Ada,,0.25,8.51,23.41,9.71,177.4,510.6,
Ada,,0.27,8.48,23.34,10.23,180.1,532.7,
Ada,,0.25,8.5,23.33,9.72,176.9,503.8,
Ada,,0.26,8.58,23.46,10.01,180.6,514.1,
